iter	Passed	Remaining
0	52	52227
1	53	26504
2	53	17894
3	54	13594
4	55	10996
5	55	9276
6	56	8066
7	57	7144
8	58	6431
9	59	5852
10	59	5374
11	60	4981
12	61	4640
13	61	4365
14	62	4112
15	63	3898
16	64	3715
17	64	3542
18	65	3392
19	66	3258
20	67	3137
21	68	3023
22	69	2938
23	70	2847
24	70	2761
25	71	2679
26	72	2613
27	73	2547
28	74	2484
29	74	2424
30	75	2366
31	76	2313
32	77	2262
33	78	2216
34	78	2169
35	79	2116
36	79	2074
37	80	2035
38	81	1997
39	81	1963
40	82	1930
41	82	1891
42	83	1864
43	84	1836
44	85	1811
45	86	1795
46	87	1768
47	87	1741
48	88	1712
49	89	1691
50	89	1674
51	90	1652
52	91	1629
53	91	1609
54	92	1591
55	93	1574
56	93	1554
57	94	1537
58	95	1518
59	96	1504
60	96	1486
61	97	1470
62	97	1451
63	98	1439
64	99	1425
65	99	1412
66	100	1397
67	101	1387
68	101	1375
69	102	1365
70	103	1353
71	104	1340
72	104	1329
73	105	1317
74	105	1306
75	106	1294
76	107	1285
77	107	1275
78	108	1267
79	109	1258
80	110	1248
81	110	1238
82	111	1231
83	112	1223
84	112	1214
85	113	1206
86	114	1198
87	114	1191
88	115	1184
89	116	1178
90	117	1170
91	117	1162
92	118	1160
93	119	1152
94	120	1145
95	120	1135
96	121	1129
97	122	1123
98	122	1118
99	123	1111
100	124	1105
101	124	1100
102	125	1095
103	126	1089
104	127	1083
105	127	1076
106	128	1071
107	129	1065
108	129	1060
109	130	1055
110	131	1051
111	131	1046
112	132	1040
113	132	1033
114	133	1028
115	134	1023
116	134	1016
117	135	1012
118	136	1008
119	136	1004
120	137	1000
121	138	995
122	139	991
123	139	987
124	140	982
125	141	979
126	141	975
127	142	972
128	143	969
129	144	966
130	145	962
131	145	957
132	146	953
133	146	949
134	147	946
135	148	942
136	149	938
137	149	935
138	150	931
139	151	927
140	151	924
141	152	919
142	153	917
143	153	913
144	154	909
145	155	907
146	155	904
147	156	901
148	157	896
149	157	893
150	158	890
151	159	888
152	159	885
153	160	884
154	161	881
155	162	877
156	162	874
157	163	871
158	164	868
159	164	865
160	165	862
161	166	859
162	167	858
163	167	855
164	168	853
165	169	852
166	170	849
167	170	846
168	171	844
169	172	841
170	173	839
171	173	837
172	174	834
173	175	833
174	176	832
175	177	829
176	177	827
177	178	824
178	179	822
179	180	820
180	180	818
181	181	816
182	182	814
183	183	812
184	183	810
185	184	808
186	185	806
187	186	804
188	186	802
189	187	799
190	188	797
191	188	795
192	189	793
193	190	790
194	191	788
195	191	786
196	192	784
197	193	782
198	194	781
199	195	780
200	195	777
201	196	775
202	197	773
203	197	771
204	198	769
205	199	768
206	199	766
207	200	764
208	201	762
209	202	760
210	202	758
211	203	756
212	204	755
213	205	753
214	205	751
215	206	750
216	207	747
217	207	745
218	208	742
219	209	741
220	209	739
221	210	737
222	211	735
223	211	734
224	212	732
225	213	730
226	214	729
227	214	727
228	215	726
229	216	723
230	216	721
231	217	720
232	218	719
233	219	717
234	219	715
235	220	713
236	221	712
237	221	710
238	222	707
239	223	708
240	224	707
241	225	705
242	226	704
243	226	702
244	227	702
245	228	700
246	229	698
247	229	697
248	230	694
249	231	693
250	231	691
251	232	689
252	233	688
253	234	687
254	234	685
255	235	685
256	236	683
257	237	681
258	237	679
259	238	678
260	238	676
261	239	674
262	240	673
263	240	671
264	241	670
265	242	669
266	243	667
267	243	665
268	244	664
269	245	662
270	245	661
271	246	659
272	247	658
273	247	656
274	248	655
275	249	653
276	249	652
277	250	651
278	251	649
279	252	648
280	252	647
281	253	645
282	254	644
283	254	642
284	255	641
285	256	640
286	257	639
287	257	637
288	258	635
289	259	634
290	259	632
291	260	632
292	261	630
293	262	629
294	262	628
295	263	626
296	264	625
297	265	624
298	265	623
299	266	622
300	267	620
301	268	619
302	268	618
303	269	616
304	270	615
305	270	614
306	271	612
307	272	611
308	272	610
309	273	609
310	274	608
311	275	607
312	275	605
313	276	604
314	277	602
315	277	601
316	278	600
317	279	598
318	279	597
319	280	596
320	281	595
321	281	593
322	282	592
323	283	591
324	284	590
325	284	588
326	285	587
327	286	586
328	286	585
329	287	583
330	288	582
331	289	581
332	290	581
333	291	580
334	291	579
335	292	577
336	292	576
337	293	575
338	294	574
339	295	573
340	295	571
341	296	570
342	297	568
343	297	568
344	298	566
345	298	564
346	299	564
347	300	562
348	301	561
349	301	560
350	302	559
351	303	558
352	304	557
353	304	556
354	305	554
355	306	553
356	306	552
357	307	550
358	308	550
359	308	549
360	309	547
361	310	546
362	310	545
363	311	544
364	312	543
365	313	542
366	314	541
367	314	540
368	315	539
369	316	539
370	317	538
371	318	537
372	318	536
373	319	535
374	320	534
375	321	533
376	322	532
377	322	530
378	323	529
379	324	528
380	324	527
381	325	526
382	326	525
383	326	524
384	327	523
385	329	523
386	329	522
387	330	521
388	331	520
389	332	519
390	332	518
391	333	517
392	334	516
